start_date,end_date,model_name,run_name,batch_size,num_epochs,learning_rate,input_shape,gpu_type,epoch_duration_sec,max_gpu_memory_mb,activation_functions,num_parameters,num_classes,dropout_rate,train_sample_count,val_sample_count
2025-05-04 19:33:57,2025-05-04 19:34:17,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.0_train2000_epoch4,512,4,0.0001,"(3, 224, 224)",Quadro RTX 6000,4.54,14974.84,['GELU'],5717416,1000,0.0,2000,100
2025-05-04 19:34:17,2025-05-04 19:34:27,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.3_train10000_epoch6,FAILED,6,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,10000,200
2025-05-04 19:34:27,2025-05-04 19:34:33,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.5_train5000_epoch6,FAILED,6,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.5,5000,500
2025-05-04 19:34:33,2025-05-04 19:34:43,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.5_train500_epoch4,FAILED,4,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,500,100
2025-05-04 19:34:43,2025-05-04 19:34:48,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.3_train500_epoch2,FAILED,2,0.1,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.3,500,500
2025-05-04 19:34:48,2025-05-04 19:34:58,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.5_train5000_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,5000,100
2025-05-04 19:34:58,2025-05-04 19:35:04,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.1_train5000_epoch2,FAILED,2,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,5000,200
2025-05-04 19:35:04,2025-05-04 19:35:13,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.5_train500_epoch6,512,6,0.001,"(3, 224, 224)",Quadro RTX 6000,1.29,14604.12,['GELU'],5717416,1000,0.5,500,200
2025-05-04 19:35:13,2025-05-04 19:36:42,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.0_train10000_epoch4,512,4,0.001,"(3, 224, 224)",Quadro RTX 6000,21.82,14974.96,['GELU'],5717416,1000,0.0,10000,200
2025-05-04 19:36:42,2025-05-04 19:36:52,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.3_train2000_epoch2,FAILED,2,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,2000,100
2025-05-04 19:36:52,2025-05-04 19:36:58,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.3_train2000_epoch2,FAILED,2,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.3,2000,100
2025-05-04 19:36:58,2025-05-04 19:37:09,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.1_train10000_epoch6,FAILED,6,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,10000,500
2025-05-04 19:37:09,2025-05-04 19:37:14,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.0_train5000_epoch6,FAILED,6,0.001,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.0,5000,100
2025-05-04 19:37:14,2025-05-04 19:37:24,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.5_train500_epoch4,FAILED,4,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,500,500
2025-05-04 19:37:24,2025-05-04 19:37:53,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.0_train2000_epoch6,512,6,0.001,"(3, 224, 224)",Quadro RTX 6000,4.54,14974.84,['GELU'],5717416,1000,0.0,2000,100
2025-05-04 19:37:53,2025-05-04 19:38:03,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.5_train2000_epoch6,FAILED,6,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,2000,500
2025-05-04 19:38:03,2025-05-04 19:38:23,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.0_train2000_epoch4,512,4,0.01,"(3, 224, 224)",Quadro RTX 6000,4.41,14974.84,['GELU'],5717416,1000,0.0,2000,500
2025-05-04 19:38:23,2025-05-04 19:38:30,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.3_train500_epoch4,512,4,0.001,"(3, 224, 224)",Quadro RTX 6000,1.36,14604.12,['GELU'],5717416,1000,0.3,500,500
2025-05-04 19:38:30,2025-05-04 19:38:40,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.1_train2000_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,100
2025-05-04 19:38:40,2025-05-04 19:38:49,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.0_train5000_epoch6,FAILED,6,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,5000,200
2025-05-04 19:38:49,2025-05-04 19:39:00,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.5_train10000_epoch6,FAILED,6,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,10000,100
2025-05-04 19:39:00,2025-05-04 19:39:06,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.0_train5000_epoch6,FAILED,6,0.0001,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.0,5000,100
2025-05-04 19:39:06,2025-05-04 19:39:16,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.5_train500_epoch4,FAILED,4,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,500,100
2025-05-04 19:39:16,2025-05-04 19:39:21,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.5_train10000_epoch6,FAILED,6,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.5,10000,100
2025-05-04 19:39:21,2025-05-04 19:39:28,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.1_train5000_epoch6,FAILED,6,0.001,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,5000,200
2025-05-04 19:39:28,2025-05-04 19:39:41,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.5_train10000_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,10000,100
2025-05-04 19:39:41,2025-05-04 19:39:51,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.1_train500_epoch6,FAILED,6,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,500,500
2025-05-04 19:39:51,2025-05-04 19:40:01,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.5_train500_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,500,100
2025-05-04 19:40:01,2025-05-04 19:40:07,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train10000_epoch2,FAILED,2,0.1,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,10000,500
2025-05-04 19:40:07,2025-05-04 19:40:13,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.3_train10000_epoch4,FAILED,4,0.001,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.3,10000,200
2025-05-04 19:40:13,2025-05-04 19:40:24,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.5_train10000_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.5,10000,100
2025-05-04 19:40:24,2025-05-04 19:40:29,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.0_train10000_epoch2,FAILED,2,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.0,10000,100
2025-05-04 19:40:29,2025-05-04 19:40:35,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.5_train5000_epoch2,FAILED,2,0.1,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.5,5000,500
2025-05-04 19:40:35,2025-05-04 19:40:40,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.1_train500_epoch2,512,2,0.001,"(3, 224, 224)",Quadro RTX 6000,1.59,14604.12,['GELU'],5717416,1000,0.1,500,200
2025-05-04 19:40:40,2025-05-04 19:40:50,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.1_do0.0_train2000_epoch6,FAILED,6,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,2000,200
2025-05-04 19:40:50,2025-05-04 19:40:56,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.5_train5000_epoch4,FAILED,4,0.001,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.5,5000,100
2025-05-04 19:40:56,2025-05-04 19:41:05,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.0001_do0.3_train5000_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,5000,100
2025-05-04 19:41:05,2025-05-04 19:41:28,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.01_do0.0_train5000_epoch2,512,2,0.01,"(3, 224, 224)",Quadro RTX 6000,10.66,14975.75,['GELU'],5717416,1000,0.0,5000,100
2025-05-04 19:41:28,2025-05-04 19:41:38,deit_tiny_patch16_224,deit_tiny_patch16_224_bsAUTO_lr0.001_do0.0_train500_epoch2,FAILED,2,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,500,100
